lat,lng,name,address,date,vtemp,vcook,vhygiene,vcontam,vsource
37.891421,-122.2827985,MIYUKI JAPANESE RESTAURANT,1695 SOLANO AVE,6/11/2012,0,0,0,0,0
37.8913299,-122.2833743,SUSHI 29,1647 SOLANO AVE,3/9/2012,0,0,0,0,0
37.8554152,-122.2603427,GENJI SUSHI,3000 TELEGRAPH AVE,3/22/2012,0,0,0,0,0
37.8554152,-122.2603427,WHOLE FOODS MARKET,3000 TELEGRAPH AVE,3/22/2012,0,0,0,0,0
37.855602,-122.261836,ASHBY CARE CENTER,2270 ASHBY AVE,7/9/2012,0,0,0,0,0
37.8567256,-122.2600552,CHEVRON STATION,2996 TELEGRAPH AVE,10/26/2011,0,0,0,0,0
37.856141,-122.2627,BERKELEY PINES,2223 ASHBY AVE,7/11/2012,0,0,0,0,0
37.8554582,-122.2663246,ROXIE FOOD CENTER,2999 SHATTUCK AVE,1/24/2012,0,0,0,0,0
37.8553363,-122.266526,XTRA OIL CO/CHEVRON,2996 SHATTUCK AVE,1/6/2012,0,0,0,0,0
37.8549901,-122.2667663,U.S. SMOG &amp; GAS,3000 SHATTUCK AVE,1/6/2012,0,0,0,0,0
37.8543537,-122.268898,BLACK &amp; WHITE LIQUOR,3027 ADELINE ST,1/25/2012,0,0,0,0,0
37.854836,-122.2680236,ST PAUL AFRICAN METHODIST,2024 ASHBY AVE,4/24/2012,0,0,0,0,0
37.8588499,-122.243444,BERKELEY TENNIS CLUB,1 TUNNEL RD,5/24/2012,0,0,0,0,0
37.857829,-122.244118,CLAREMONT CHEVRON,3048 ASHBY AVE,7/25/2012,0,0,0,0,0
37.853827,-122.268927,FLACOS,3031 ADELINE ST,1/25/2012,0,0,0,0,0
37.85436,-122.2729126,SOUTH BERKELEY SENIOR CENTER,2939 ELLIS ST,4/12/2012,0,0,0,0,0
37.869098,-122.2903273,DE AFGHANAN KABOB HOUSE,1160 UNIVERSITY AVE,6/15/2011,1,0,0,1,0
37.8912112,-122.284896,LA BEDAINE,1585 SOLANO AVE,4/3/2012,0,0,0,0,0
